tile,canopy_first_returns,total_first_returns,canopy_cover_ratio_dbh
tile_282400_1551400.las,106114,131347,0.8079
tile_282400_1551500.las,152891,171328,0.8924
tile_282400_1551600.las,151484,161210,0.9397
tile_282400_1551700.las,97490,106922,0.9118
tile_282400_1551800.las,112300,135360,0.8296
tile_282400_1551900.las,111416,138136,0.8066
tile_282500_1550000.las,121924,149219,0.8171
tile_282500_1550100.las,138829,159934,0.868
tile_282500_1550200.las,76397,112663,0.6781
tile_282500_1550300.las,122333,159994,0.7646
tile_282500_1550400.las,137433,200694,0.6848
tile_282500_1550500.las,93501,158783,0.5889
tile_282500_1550600.las,67077,95238,0.7043
tile_282500_1550700.las,113352,147547,0.7682
tile_282500_1550800.las,153123,166098,0.9219
tile_282500_1550900.las,108978,147833,0.7372
tile_282500_1551000.las,65977,104646,0.6305
tile_282500_1551100.las,77401,153617,0.5039
tile_282500_1551200.las,118486,179529,0.66
tile_282500_1551300.las,99852,138441,0.7213
tile_282500_1551400.las,88807,115024,0.7721
tile_282500_1551500.las,132475,168551,0.786
tile_282500_1551600.las,155211,167164,0.9285
tile_282500_1551700.las,113336,123709,0.9161
tile_282500_1551800.las,97609,115001,0.8488
tile_282500_1551900.las,103476,134192,0.7711
tile_282600_1550000.las,119220,139641,0.8538
tile_282600_1550100.las,193714,200583,0.9658
tile_282600_1550200.las,102873,135998,0.7564
tile_282600_1550300.las,71012,132424,0.5362
tile_282600_1550400.las,125904,189356,0.6649
tile_282600_1550500.las,130400,177541,0.7345
tile_282600_1550600.las,82305,97757,0.8419
tile_282600_1550700.las,105383,114814,0.9179
tile_282600_1550800.las,158478,166682,0.9508
tile_282600_1550900.las,131714,162978,0.8082
tile_282600_1551000.las,53896,116356,0.4632
tile_282600_1551100.las,36699,130233,0.2818
tile_282600_1551200.las,45900,172551,0.266
tile_282600_1551300.las,81867,157730,0.519
tile_282600_1551400.las,79371,99656,0.7964
tile_282600_1551500.las,134355,147732,0.9095
tile_282600_1551600.las,137081,154708,0.8861
tile_282600_1551700.las,121229,137957,0.8787
tile_282600_1551800.las,79483,94251,0.8433
tile_282600_1551900.las,105819,118495,0.893
tile_282700_1550000.las,106326,115231,0.9227
tile_282700_1550100.las,196927,207950,0.947
tile_282700_1550200.las,119384,152947,0.7806
tile_282700_1550300.las,65405,118255,0.5531
tile_282700_1550400.las,119078,161745,0.7362
tile_282700_1550500.las,166794,189645,0.8795
tile_282700_1550600.las,120889,126468,0.9559
tile_282700_1550700.las,79753,87592,0.9105
tile_282700_1550800.las,140488,150212,0.9353
tile_282700_1550900.las,139394,168759,0.826
tile_282700_1551000.las,66573,137051,0.4858
tile_282700_1551100.las,35141,109660,0.3205
tile_282700_1551200.las,51180,163962,0.3121
tile_282700_1551300.las,87917,174154,0.5048
tile_282700_1551400.las,94960,122967,0.7722
tile_282700_1551500.las,110973,125681,0.883
tile_282700_1551600.las,118698,159086,0.7461
tile_282700_1551700.las,95403,148170,0.6439
tile_282700_1551800.las,61481,99865,0.6156
tile_282700_1551900.las,88146,108072,0.8156
tile_282800_1550000.las,71793,79042,0.9083
tile_282800_1550100.las,154294,174974,0.8818
tile_282800_1550200.las,146248,180623,0.8097
tile_282800_1550300.las,82330,124154,0.6631
tile_282800_1550400.las,109524,139371,0.7858
tile_282800_1550500.las,157822,179199,0.8807
tile_282800_1550600.las,138987,149609,0.929
tile_282800_1550700.las,77959,85923,0.9073
tile_282800_1550800.las,101742,121563,0.8369
tile_282800_1550900.las,130920,170431,0.7682
tile_282800_1551000.las,124898,152340,0.8199
tile_282800_1551100.las,61264,104879,0.5841
tile_282800_1551200.las,59863,146446,0.4088
tile_282800_1551300.las,96787,165814,0.5837
tile_282800_1551400.las,109469,138018,0.7932
tile_282800_1551500.las,83809,105169,0.7969
tile_282800_1551600.las,131026,152558,0.8589
tile_282800_1551700.las,130237,154688,0.8419
tile_282800_1551800.las,96347,125421,0.7682
tile_282800_1551900.las,75956,95320,0.7969
tile_282900_1550000.las,59388,66803,0.889
tile_282900_1550100.las,126637,135878,0.932
tile_282900_1550200.las,154106,169353,0.91
tile_282900_1550300.las,108320,133220,0.8131
tile_282900_1550400.las,95667,117841,0.8118
tile_282900_1550500.las,145730,169254,0.861
tile_282900_1550600.las,158838,184016,0.8632
tile_282900_1550700.las,103676,111820,0.9272
tile_282900_1550800.las,67977,92928,0.7315
tile_282900_1550900.las,126601,154407,0.8199
tile_282900_1551000.las,145287,166173,0.8743
tile_282900_1551100.las,95932,119671,0.8016
tile_282900_1551200.las,96077,121281,0.7922
tile_282900_1551300.las,138205,160790,0.8595
tile_282900_1551400.las,108264,155254,0.6973
tile_282900_1551500.las,64189,110190,0.5825
tile_282900_1551600.las,99586,141881,0.7019
tile_282900_1551700.las,119342,162197,0.7358
tile_282900_1551800.las,123122,150658,0.8172
tile_282900_1551900.las,67665,89472,0.7563
tile_283000_1550000.las,50783,78675,0.6455
tile_283000_1550100.las,105817,115417,0.9168
tile_283000_1550200.las,135503,148253,0.914
tile_283000_1550300.las,142978,154585,0.9249
tile_283000_1550400.las,109811,125636,0.874
tile_283000_1550500.las,135206,154708,0.8739
tile_283000_1550600.las,176349,194282,0.9077
tile_283000_1550700.las,131420,139686,0.9408
tile_283000_1550800.las,72035,82400,0.8742
tile_283000_1550900.las,102976,130218,0.7908
tile_283000_1551000.las,104243,163771,0.6365
tile_283000_1551100.las,96929,138805,0.6983
tile_283000_1551200.las,96187,107096,0.8981
tile_283000_1551300.las,135641,152506,0.8894
tile_283000_1551400.las,92127,150124,0.6137
tile_283000_1551500.las,79216,128523,0.6164
tile_283000_1551600.las,68389,118576,0.5768
tile_283000_1551700.las,107228,164077,0.6535
tile_283000_1551800.las,108687,157953,0.6881
tile_283000_1551900.las,64863,105773,0.6132
tile_283100_1550000.las,19827,48065,0.4125
tile_283100_1550100.las,63731,88690,0.7186
tile_283100_1550200.las,131707,151944,0.8668
tile_283100_1550300.las,136986,159548,0.8586
tile_283100_1550400.las,126750,137071,0.9247
tile_283100_1550500.las,105417,121930,0.8646
tile_283100_1550600.las,152944,169453,0.9026
tile_283100_1550700.las,144667,154941,0.9337
tile_283100_1550800.las,82434,89438,0.9217
tile_283100_1550900.las,86306,106436,0.8109
tile_283100_1551000.las,109434,164854,0.6638
tile_283100_1551100.las,124017,159854,0.7758
tile_283100_1551200.las,96029,108089,0.8884
tile_283100_1551300.las,101259,135306,0.7484
tile_283100_1551400.las,111453,157519,0.7076
tile_283100_1551500.las,103471,148897,0.6949
tile_283100_1551600.las,56383,99617,0.566
tile_283100_1551700.las,75090,141456,0.5308
tile_283100_1551800.las,85855,151927,0.5651
tile_283100_1551900.las,59676,123021,0.4851
tile_283200_1550000.las,68,4311,0.0158
tile_283200_1550100.las,5499,31807,0.1729
tile_283200_1550200.las,60386,91362,0.661
tile_283200_1550300.las,116666,146029,0.7989
tile_283200_1550400.las,127298,139253,0.9141
tile_283200_1550500.las,87796,97948,0.8964
tile_283200_1550600.las,134281,151901,0.884
tile_283200_1550700.las,171655,185996,0.9229
tile_283200_1550800.las,107270,124951,0.8585
tile_283200_1550900.las,63966,89524,0.7145
tile_283200_1551000.las,102295,150476,0.6798
tile_283200_1551100.las,143930,171483,0.8393
tile_283200_1551200.las,110508,129685,0.8521
tile_283200_1551300.las,89543,112929,0.7929
tile_283200_1551400.las,127630,156808,0.8139
tile_283200_1551500.las,94981,156386,0.6073
tile_283200_1551600.las,59253,118355,0.5006
tile_283200_1551700.las,44282,117426,0.3771
tile_283200_1551800.las,75192,161541,0.4655
tile_283200_1551900.las,65973,141451,0.4664
tile_283300_1550000.las,1,424,0.0024
tile_283300_1550100.las,476,18746,0.0254
tile_283300_1550200.las,8588,35733,0.2403
tile_283300_1550300.las,63424,74151,0.8553
tile_283300_1550400.las,126898,138473,0.9164
tile_283300_1550500.las,110759,116402,0.9515
tile_283300_1550600.las,106064,124566,0.8515
tile_283300_1550700.las,153378,174703,0.8779
tile_283300_1550800.las,122392,148737,0.8229
tile_283300_1550900.las,67382,90258,0.7465
tile_283300_1551000.las,89974,127689,0.7046
tile_283300_1551100.las,107739,168764,0.6384
tile_283300_1551200.las,110295,144923,0.7611
tile_283300_1551300.las,81666,100745,0.8106
tile_283300_1551400.las,119989,145264,0.826
tile_283300_1551500.las,112515,162133,0.694
tile_283300_1551600.las,81467,140452,0.58
tile_283300_1551700.las,41038,90654,0.4527
tile_283300_1551800.las,98572,164378,0.5997
tile_283300_1551900.las,66188,141129,0.469
tile_283400_1550000.las,0,20,0.0
tile_283400_1550100.las,220,10575,0.0208
tile_283400_1550200.las,839,30129,0.0278
tile_283400_1550300.las,1435,12040,0.1192
tile_283400_1550400.las,68275,77729,0.8784
tile_283400_1550500.las,124644,130560,0.9547
tile_283400_1550600.las,77073,102204,0.7541
tile_283400_1550700.las,145801,168062,0.8675
tile_283400_1550800.las,171335,189042,0.9063
tile_283400_1550900.las,90652,115494,0.7849
tile_283400_1551000.las,65742,98129,0.67
tile_283400_1551100.las,106467,162248,0.6562
tile_283400_1551200.las,143048,168837,0.8473
tile_283400_1551300.las,102492,120492,0.8506
tile_283400_1551400.las,109902,126216,0.8707
tile_283400_1551500.las,138458,172576,0.8023
tile_283400_1551600.las,139810,171773,0.8139
tile_283400_1551700.las,82324,107463,0.7661
tile_283400_1551800.las,92760,124080,0.7476
tile_283400_1551900.las,80332,130666,0.6148
tile_283500_1550100.las,71,4052,0.0175
tile_283500_1550200.las,738,26416,0.0279
tile_283500_1550300.las,427,18809,0.0227
tile_283500_1550400.las,50947,59592,0.8549
tile_283500_1550500.las,110990,146234,0.759
tile_283500_1550600.las,60149,119401,0.5038
tile_283500_1550700.las,133602,156788,0.8521
tile_283500_1550800.las,174219,194439,0.896
tile_283500_1550900.las,129452,144556,0.8955
tile_283500_1551000.las,84369,91538,0.9217
tile_283500_1551100.las,133907,141960,0.9433
tile_283500_1551200.las,173270,182165,0.9512
tile_283500_1551300.las,132398,141325,0.9368
tile_283500_1551400.las,96551,111040,0.8695
tile_283500_1551500.las,129172,148946,0.8672
tile_283500_1551600.las,167076,179517,0.9307
tile_283500_1551700.las,101682,124917,0.814
tile_283500_1551800.las,66645,92054,0.724
tile_283500_1551900.las,64520,127683,0.5053
tile_283600_1550000.las,10,630,0.0159
tile_283600_1550100.las,7,823,0.0085
tile_283600_1550200.las,538,19130,0.0281
tile_283600_1550300.las,812,27151,0.0299
tile_283600_1550400.las,62196,85336,0.7288
tile_283600_1550500.las,66888,160381,0.4171
tile_283600_1550600.las,32356,127407,0.254
tile_283600_1550700.las,52575,127837,0.4113
tile_283600_1550800.las,100245,185156,0.5414
tile_283600_1550900.las,117286,175346,0.6689
tile_283600_1551000.las,80373,96087,0.8365
tile_283600_1551100.las,83413,111070,0.751
tile_283600_1551200.las,151668,174425,0.8695
tile_283600_1551300.las,143646,158257,0.9077
tile_283600_1551400.las,99006,108762,0.9103
tile_283600_1551500.las,81923,102427,0.7998
tile_283600_1551600.las,137285,169005,0.8123
tile_283600_1551700.las,120559,165544,0.7283
tile_283600_1551800.las,57176,93786,0.6096
tile_283600_1551900.las,51818,109958,0.4713
tile_283700_1550000.las,276,6761,0.0408
tile_283700_1550100.las,0,53,0.0
tile_283700_1550200.las,250,9345,0.0268
tile_283700_1550300.las,1637,36823,0.0445
tile_283700_1550400.las,34419,106205,0.3241
tile_283700_1550500.las,55394,167099,0.3315
tile_283700_1550600.las,48425,149913,0.323
tile_283700_1550700.las,61142,126400,0.4837
tile_283700_1550800.las,49856,162493,0.3068
tile_283700_1550900.las,66986,186270,0.3596
tile_283700_1551000.las,83711,120502,0.6947
tile_283700_1551100.las,51022,90265,0.5652
tile_283700_1551200.las,98221,149599,0.6566
tile_283700_1551300.las,118238,171330,0.6901
tile_283700_1551400.las,101032,124748,0.8099
tile_283700_1551500.las,75174,112918,0.6657
tile_283700_1551600.las,116385,167638,0.6943
tile_283700_1551700.las,114923,168858,0.6806
tile_283700_1551800.las,76126,117199,0.6495
tile_283700_1551900.las,43009,80923,0.5315
tile_283800_1550000.las,662,23234,0.0285
tile_283800_1550100.las,1,386,0.0026
tile_283800_1550200.las,46,3153,0.0146
tile_283800_1550300.las,1589,36917,0.043
tile_283800_1550400.las,18560,113331,0.1638
tile_283800_1550500.las,46034,178684,0.2576
tile_283800_1550600.las,68263,171541,0.3979
tile_283800_1550700.las,75167,123235,0.6099
tile_283800_1550800.las,22335,138945,0.1607
tile_283800_1550900.las,19360,195441,0.0991
tile_283800_1551000.las,65401,149381,0.4378
tile_283800_1551100.las,54045,88880,0.6081
tile_283800_1551200.las,67954,129680,0.524
tile_283800_1551300.las,82090,184949,0.4439
tile_283800_1551400.las,90655,149620,0.6059
tile_283800_1551500.las,67609,116495,0.5804
tile_283800_1551600.las,97234,160120,0.6073
tile_283800_1551700.las,114301,161268,0.7088
tile_283800_1551800.las,84212,142478,0.5911
tile_283800_1551900.las,28513,72460,0.3935
tile_283900_1550000.las,1085,37128,0.0292
tile_283900_1550100.las,82,4451,0.0184
tile_283900_1550200.las,5,587,0.0085
tile_283900_1550300.las,1843,28152,0.0655
tile_283900_1550400.las,7764,75312,0.1031
tile_283900_1550500.las,50687,136807,0.3705
tile_283900_1550600.las,80075,168346,0.4757
tile_283900_1550700.las,25320,113985,0.2221
tile_283900_1550800.las,6376,108312,0.0589
tile_283900_1550900.las,13453,155647,0.0864
tile_283900_1551000.las,34909,150273,0.2323
tile_283900_1551100.las,42166,87226,0.4834
tile_283900_1551200.las,43900,94186,0.4661
tile_283900_1551300.las,55908,150351,0.3718
tile_283900_1551400.las,59712,147231,0.4056
tile_283900_1551500.las,55479,118488,0.4682
tile_283900_1551600.las,88650,145122,0.6109
tile_283900_1551700.las,78857,137089,0.5752
tile_283900_1551800.las,69756,132301,0.5273
tile_283900_1551900.las,26997,75750,0.3564
